language,English,German,French,Italian,Spanish
$XBX_MCAutosaveFailed,Unable to save game! Autosave has been disabled.  Manually save your game to re-enable autosave.,"Spiel kann nicht gespeichert werden! Das automatische Speichern wurde deaktiviert. Speichern Sie das Spiel manuell, um das automatische Speichern wieder zu aktivieren.",Echec de la sauvegarde ! La sauvegarde automatique a été désactivée. Sauvegarder manuellement pour réactiver la sauvegarde automatique.,Salvataggio fallito! L'Autosalvataggio è stato disabilitato. Salva manualmente la partita per riabilitarlo.,¡Error al guardar partida! El autoguardado ha sido desactivado. Guarda manualmente la partida para reactivar el autoguardado.
$XBX_MCAutosaveReconfirm,N/A,-,N/A,N/D,N/D
$XBX_MCAutosaving,Autosaving game.,Automatische Datenspeicherung.,Sauvegarde automatique en cours.,Autosalvataggio della partita.,Autoguardando partida.
$XBX_MCCancel,Cancel,Abbrechen,Annuler,Annulla,Anular
$XBX_MCCheckFailed,Check failed!,Überprüfen gescheitert!,Echec de la vérification !,Verifica fallita!,¡Error al comprobar!
$XBX_MCCheckFailedContinue,Check failed!  Continue without saving?,Überprüfen gescheitert! Ohne Speichern fortfahren?,Echec de la vérification ! Continuer sans sauvegarder ?,Verifica fallita! Vuoi continuare senza salvare?,¡Error al comprobar! ¿Continuar sin guardar?
$XBX_MCChecking,Checking for free space. Please don't turn off the Xbox console.,Speicherplatz wird überprüft. Bitte die Xbox nicht ausschalten.,Vérification de l'espace libre disponible en cours. Ne pas éteindre la console Xbox.,Verifica dello spazio libero. Non spegnere Xbox.,Comprobando espacio libre. No apagar la consola Xbox.
$XBX_MCConfirmFormat,N/A,-,N/A,N/D,N/D
$XBX_MCContinue,Continue,Fortsetzen,Continuer,Continua,Seguir
$XBX_MCCorrupted,Finest Hour saved game cannot be used.,Der Finest Hour-Spielstand kann nicht verwendet werden.,La sauvegarde de Call of Duty: Le jour de gloire ne peut pas être utilisée.,Il salvataggio per L'ora degli Eroi non può essere utilizzato.,La partida guardada de Finest Hour no puede usarse.
$XBX_MCCorruptedNew,Finest Hour saved game is damaged and cannot be used.  Would you like to create a new Finest Hour save file?,Die Finest Hour-Daten sind fehlerhaft und können nicht verwendet werden. Möchten Sie eine Finest Hour-Datei erstellen?,La sauvegarde de Call of Duty: Le jour de gloire est endommagée et inutilisable. Créer un fichier de sauvegarde de Call of Duty: Le jour de gloire ?,Il salvataggio per L'ora degli Eroi è danneggiato e non può essere utilizzato. Vuoi creare un nuovo file di salvataggio per L'ora degli Eroi?,La partida guardada de Finest Hour está dañada y no puede usarse. ¿Quieres crear un nuevo archivo guardado de Finest Hour?
$XBX_MCCreateFailed,Create failed!,Erstellen gescheitert!,Echec de la création !,Creazione fallita!,¡Error al crear!
$XBX_MCCreateFailedContinue,Create failed!  Continue without saving?,Erstellen gescheitert! Ohne Speichern fortfahren?,Echec de la création ! Continuer sans sauvegarder ?,Creazione fallita! Vuoi continuare senza salvare?,¡Error al crear! ¿Continuar sin guardar?
$XBX_MCCreateOK,Creation successful.,Erstellen erfolgreich.,Création réussie.,Creazione completata.,Éxito al crear.
$XBX_MCCreateSaveFile,No Finest Hour saved games present on the Xbox console.  Would you like to create a Finest Hour save?,Keine gespeicherten Finest Hour-Daten auf der Xbox. Möchten Sie eine Finest Hour-Datei erstellen?,Pas de données de Call of Duty: Le jour de gloire présentes sur la console Xbox. Créer un fichier de sauvegarde de Call of Duty: Le jour de gloire ?,Nessun salvataggio di L'ora degli Eroi presente su Xbox. Vuoi creare un salvataggio di L'ora degli Eroi?,No hay partidas guardadas de Finest Hour en la consola Xbox. ¿Quieres guardar tu partida de Finest Hour?
$XBX_MCCreating,Saving.,Speichern.,Sauvegarde en cours.,Salvataggio in corso...,Guardando.
$XBX_MCDataRequired,No Finest Hour saved game present.,Keine gespeicherten Finest Hour-Daten.,Pas de données de Call of Duty: Le jour de gloire.,Nessun salvataggio di L'ora degli Eroi presente.,No hay partidas guardadas de Finest Hour.
$XBX_MCDelete,Delete,Löschen,Effacer,Elimina,Borrar
$XBX_MCExitFree,Free more blocks,Für mehr freie Blöcke sorgen,Libérer des blocs,Libera dei blocchi,Liberar más bloques
$XBX_MCFormat,Format,Formatieren,Formater,Formatta,Formatear
$XBX_MCFormatCancel,N/A,-,N/A,N/D,N/D
$XBX_MCFormatFailed,N/A,-,N/A,N/D,N/D
$XBX_MCFormatFailedContinue,N/A,-,N/A,N/D,N/D
$XBX_MCFormatOK,N/A,-,N/A,N/D,N/D
$XBX_MCFormattedRequired,N/A,-,N/A,N/D,N/D
$XBX_MCFormatting,N/A,-,N/A,N/D,N/D
$XBX_MCGameCorrupt,Unable to load Save Game. Press A to continue.,Spielstand kann nicht geladen werden. Weiter mit A-Taste.,Chargement de la sauvegarde impossible. Appuyer sur A pour continuer.,Salvataggio fallito. Premi A per continuare.,Error al cargar partida guardada. Pulsa A para continuar.
$XBX_MCLoadFailed,Unable to load content.,Inhalt kann nicht geladen werden.,Chargement du contenu impossible.,Caricamento contenuti fallito.,Imposible cargar contenido.
$XBX_MCLoading,Loading.,Laden.,Chargement en cours.,Caricamento,Cargando.
$XBX_MCLoadNewGame,The selected saved game is empty.  Do you want to start a new game?,Die gewählten Daten sind leer. Möchten Sie ein neues Spiel starten?,La sauvegarde sélectionnée est vide. Commencer une nouvelle partie ?,Il salvataggio selezionato è vuoto. Vuoi iniziare una nuova partita?,La partida guardada seleccionada está vacía. ¿Quieres comenzar una nueva partida?
$XBX_MCLoadOK,Load successful.,Laden erfolgreich.,Chargement réussi.,Caricamento completato.,Éxito al cargar.
$XBX_MCNewGameOKAutosave,"New game saved.  While this icon is on the screen, please do not turn off your Xbox console.","Neues Spiel gespeichert. Solange dieses Symbol auf dem Bildschirm erscheint, schalten Sie die Xbox bitte nicht aus.","Nouvelle sauvegarde. Lorsque cet icone est à l'écran, ne pas éteindre la console Xbox.","Nuova partita salvata. Finché questa icona è visibile, non spegnere Xbox.","Partida nueva guardada. Mientras este icono esté en la pantalla, no apagar la consola Xbox."
$XBX_MCNo,No,Nein,Non,No,No
$XBX_MCNoCard,Unable to load content.,Inhalt kann nicht geladen werden.,Chargement du contenu impossible.,Caricamento contenuti fallito.,Imposible cargar contenido.
$XBX_MCNoCardContinue,Continue without saving?,Ohne Speichern fortfahren?,Continuer sans sauvegarder ?,Vuoi continuare senza salvare?,¿Continuar sin guardar?
$XBX_MCNoCardLoad,Load.,Laden.,Charger,Carica,Cargar.
$XBX_MCNoSpace,Your Xbox doesn't have enough free blocks to save games.  You need to free ${SaveGameSize} more blocks.  Would you like to continue without saving?,"Die Xbox hat nicht genügend freie Blöcke, um Spiele zu speichern. Es werden ${SaveGameSize} weitere Blöcke benötigt. Ohne Speichern fortfahren?",Votre console Xbox ne comporte pas assez de bloc(s) libre(s) pour sauvegarder les parties. Vous avez besoin de ${SaveGameSize} blocs libres supplémentaires. Continuer sans sauvegarder ?,Xbox non dispone di sufficienti blocchi liberi per salvare. Sono necessari ${SaveGameSize} ulteriori blocchi liberi. Vuoi continuare senza salvare?,Tu Xbox no tiene suficientes bloques libres para guardar partidas. Se necesitan ${SaveGameSize} bloques más. ¿Deseas continuar sin guardar?
$XBX_MCNoSpaceContinue,Your Xbox doesn't have enough free blocks to save games.  You need to free ${SaveGameSize} more blocks.  Would you like to continue without saving?,"Die Xbox hat nicht genügend freie Blöcke, um Spiele zu speichern. Es werden ${SaveGameSize} weitere Blöcke benötigt. Ohne Speichern fortfahren?",Votre console Xbox ne comporte pas assez de bloc(s) libre(s) pour sauvegarder les parties. Vous avez besoin de ${SaveGameSize} blocs libres supplémentaires. Continuer sans sauvegarder ?,Xbox non dispone di sufficienti blocchi liberi per salvare. Sono necessari ${SaveGameSize} ulteriori blocchi liberi. Vuoi continuare senza salvare?,Tu Xbox no tiene suficientes bloques libres para guardar partidas. Se necesitan ${SaveGameSize} bloques más. ¿Deseas continuar sin guardar?
$XBX_MCOK,OK,OK,OK,OK,ACEPTAR
$XBX_MCOverwriteContinue,Are you sure you want to overwrite this saved game?,Möchten Sie diesen Spielstand wirklich überschreiben?,Ecraser cette sauvegarde ?,Vuoi sovrascrivere questo salvataggio?,¿Seguro que quieres sobrescribir esta partida guardada?
$XBX_MCOverwriteFailed,Overwrite failed!,Überschreiben gescheitert!,Echec de l'écrasement !,Sovrascrittura fallita!,¡Error al sobrescribir!
$XBX_MCOverwriteFailedContinue,Overwrite failed!  Continue without saving?,Überschreiben gescheitert! Ohne Speichern fortfahren?,Echec de l'écrasement ! Continuer sans sauvegarder ?,Sovrascrittura fallita! Vuoi continuare senza salvare?,¡Error al sobrescribir! ¿Continuar sin guardar?
$XBX_MCOverwriteNewContinue,Are you sure you want to overwrite this saved game with a new game?,Möchten Sie diesen Spielstand wirklich mit einem neuen Spielstand überschreiben?,Ecraser cette sauvegarde avec une nouvelle partie ?,Vuoi sovrascrivere questo salvataggio con uno nuovo?,¿Seguro que quieres sobrescribir esta partida guardada con una nueva partida?
$XBX_MCOverwriteOK,Overwrite successful.,Überschreiben erfolgreich.,Ecrasement réussi.,Sovrascrittura completata.,Éxito al sobrescribir.
$XBX_MCOverwriting,Saving.,Speichern.,Sauvegarde en cours.,Salvataggio in corso...,Guardando.
$XBX_MCRetry,Retry,Wiederholen,Réessayer,Riprova,Reintentar
$XBX_MCSaveFailed,Unable to save game!,Spiel kann nicht gespeichert werden!,Sauvegarde impossible !,Impossibile salvare la partita!,¡Error al guardar partida!
$XBX_MCSaveFailedContinue,Unable to save game!  Continue without saving?,Spiel kann nicht gespeichert werden! Ohne Speichern fortfahren?,Sauvegarde impossible ! Continuer sans sauvegarder ?,Impossibile salvare la partita! Vuoi continuare senza salvare?,¡Error al guardar partida! ¿Continuar sin guardar?
$XBX_MCSaveOK,Save successful.,Speichern erfolgreich.,Sauvegarde réussie.,Salvataggio completato.,Éxito al guardar.
$XBX_MCSaving,Saving.,Speichern.,Sauvegarde en cours.,Salvataggio in corso...,Guardando.
$XBX_MCUnformatted,N/A,-,N/A,N/D,N/D
$XBX_MCWrongVersion,Save file is wrong version. Overwrite?,Datei hat die falsche Version. Überschreiben?,Mauvaise version du fichier de sauvegarde. L'écraser ?,La versione del file di salvataggio è sbagliata. Vuoi sovrascrivere?,El archivo guardado es de otra versión. ¿Sobrescribir?
$XBX_MCYes,Yes,Ja,Oui,Sì,Sí
$XBX_NoControllerText,Please reconnect the controller and press START to continue.,Bitte den Controller wieder anschließen und START drücken.,Reconnecter la manette et appuyer sur START pour continuer.,Ricollega il controller e premi START per continuare.,Vuelve a conectar el Mando y pulsa START/PAUSE para continuar.
$XBX_NoControllerTitle,No Controller,Kein Controller,Pas de manette.,Nessun controller rilevato,No hay mando
$XBX_VibrationSet,Vibration:,Vibration:,Vibration :,Vibrazione:,Vibración
$XBX_YankControllerText,Please reconnect the controller and press START to continue.,Bitte den Controller wieder anschließen und START drücken.,Reconnecter la manette et appuyer sur START pour continuer.,Ricollega il controller e premi START per continuare.,Vuelve a conectar el Mando y pulsa START/PAUSE para continuar.
$XBX_YankControllerTitle,Controller Disconnected,Controller entfernt,Manette déconnectée,Controller scollegato,Mando desconectado
$NGC_ControllerSetupInfo,"To join the game, connect a controller and press $Accept.  To leave the game, press $Accept on any active controller.",Zum Mitspielen schließen Sie einen Controller an und drücken Sie $Accept.  Zum Verlassen des Spiels drücken Sie $Accept auf einem angeschlossenen Controller.,"Pour rejoindre la partie, connectez une manette et appuyez sur $Accept. Pour quitter la partie, appuyez sur $Accept sur toute manette active.","Per partecipare alla partita, collega un controller e premi $Accept. Per lasciare la partita, premi $Accept su qualunque controller attivo.","Para unirte a la partida, conecta un mando y pulsa $Accept. Para salir de la partida, pulsa $Accept en cualquier mando activo."
$NGC_ControllerText,Controller 1,Controller 1,Manette 1,Controller 1,Mando 1
$NGC_ControlsAction,Action,Aktion,Action,Azione,Acción
$NGC_ControlsAttack,Attack,Angriff,Attaquer,Attacca,Ataque
$NGC_ControlsJump,Jump,Sprung,Sauter,Salta,Saltar
$NGC_ControlsNext,Next Character,Nächster Charakter,Personnage suivant,Personaggio successivo,Personaje siguiente
$NGC_ControlsPrev,Previous Character,Vorheriger Charakter,Personnage précédent,Personaggio precedente,Personaje anterior.
$NGC_ControlsSpecial,Special Ability,Spezialfähigkeit,Compétence spéciale,Abilità speciale,Habilidad especial
$NGC_CorruptedText,Corrupt Save,Fehlerhafter Spielstand,Sauvegarde corrompue,Salvataggio corrotto,Datos guardados dañados
$NGC_MCAutosaveDisabled,Memory Card in Slot A was removed.  Autosave has been disabled.  Manually save your game to re-enable autosave.,"Die Memory Card in Steckplatz A wurde entfernt. Das automatische Speichern wurde deaktiviert. Speichern Sie das Spiel manuell, um das automatische Speichern wieder zu aktivieren.",La Memory Card (carte mémoire) du Slot A a été retirée. La sauvegarde automatique a été désactivée. Sauvegardez manuellement pour réactiver la sauvegarde automatique.,La Memory Card (Scheda Memoria) nello Slot A è stata rimossa. Salva la partita manualmente per riabilitare l'Autosalvataggio.,La Memory Card (tarjeta de memoria) de la Ranura A ha sido extraída. El autoguardado ha sido desactivado. Guarda manualmente la partida para reactivar el autoguardado.
$NGC_MCAutosaveFailed,Save failed!  Autosave has been disabled.  Check memory card in Slot A and manually save your game to re-enable autosave.,"Speichern gescheitert! Das automatische Speichern wurde deaktiviert. Überprüfen Sie die Memory Card in Steckplatz A und speichern Sie manuell, um das automatische Speichern wieder zu aktivieren.",Echec de la sauvegarde ! La sauvegarde automatique a été désactivée. Vérifiez la Memory Card (carte mémoire) du Slot A et sauvegardez manuellement pour réactiver la sauvegarde automatique.,Salvataggio fallito! Salvataggio automatico disabilitato. Controlla la Memory Card (Scheda Memoria) nello Slot A e salva la partita manualmente per riabilitare l'Autosalvataggio.,¡Error al guardar! El autoguardado ha sido desactivado. Comprueba la Memory Card (tarjeta de memoria) de la Ranura A y guarda manualmente la partida para reactivar el autoguardado.
$NGC_MCAutosaveReconfirm,The Memory Card in Slot A has been removed since last save. ,Die Memory Card in Steckplatz A wurde seit dem letzten Speichern entfernt.,La Memory Card (carte mémoire) du Slot A a été retirée depuis la dernière sauvegarde. ,La Memory Card (Scheda Memoria) nello Slot A è stata rimossa dall'ultimo salvataggio.,La Memory Card (tarjeta de memoria) de la Ranura A ha sido extraída desde la última vez que se guardaron datos.
$NGC_MCAutosaving,Autosaving data. Do not touch the Memory Card or the POWER Button.,Speichert automatisch. Bitte entfernen Sie nicht die Memory Card und betätigen Sie nicht den POWER-Schalter.,Sauvegarde automatique en cours. Ne touchez pas à la Memory Card (carte mémoire) ni au bouton POWER.,Autosalvataggio dei dati. Non toccare la Memory Card (Scheda Memoria) o il pulsante POWER.,Autoguardando datos. No toques ni la Memory Card (tarjeta de memoria) ni el Botón POWER.
$NGC_MCCancel,Cancel,Abbrechen,Annuler,Annulla,Cancelar
$NGC_MCCardChanged,The Memory Card in Slot A has changed.,Die Memory Card in Steckplatz A wurde gewechselt.,La Memory Card (carte mémoire) du Slot A a été changée.,La Memory Card (Scheda Memoria) nello Slot A è cambiata.,La Memory Card (tarjeta de memoria) de la Ranura A ha cambiado.
$NGC_MCCardRemoved,The Memory Card in Slot A has been removed.,Die Memory Card in Steckplatz A wurde entfernt.,La Memory Card (carte mémoire) du Slot A a été retirée.,La Memory Card (Scheda Memoria) nello Slot A è stata rimossa. ,La Memory Card (tarjeta de memoria) de la Ranura A ha sido extraída.
$NGC_MCCheckFailed,Check failed. Check Memory Card in Slot A. ,Überprüfen gescheitert. Überprüfen Sie die Memory Card in Steckplatz A.,Echec de la vérification. Vérifiez la Memory Card (carte mémoire) du Slot A.,Controllo fallito. Controllare la Memory Card (Scheda Memoria) nello Slot A.,Error al comprobar. Comprueba la Memory Card (tarjeta de memoria) de la Ranura A.
$NGC_MCCheckFailedContinue,Check failed. Check Memory Card in Slot A. ,Überprüfen gescheitert. Überprüfen Sie die Memory Card in Steckplatz A.,Echec de la vérification. Vérifiez la Memory Card (carte mémoire) du Slot A.,Controllo fallito. Controllare la Memory Card (Scheda Memoria) nello Slot A.,Error al comprobar. Comprueba la Memory Card (tarjeta de memoria) de la Ranura A.
$NGC_MCChecking,Checking Memory Card in Slot A. Do not touch the Memory Card in Slot A or the POWER Button.,Memory Card in Steckplatz A wird überprüft. Bitte entfernen Sie nicht die Memory Card und betätigen Sie nicht den POWER-Schalter.,Vérification de la Memory Card (carte mémoire) du Slot A. Ne touchez pas à la Memory Card (carte mémoire) ni au bouton POWER.,Controllo della Memory Card (Scheda Memoria) nello Slot A. Non toccare la Memory Card (Scheda Memoria) o il pulsante POWER.,Comprobando Memory Card (tarjeta de memoria). No toques ni la Memory Card (tarjeta de memoria) de la Ranura A ni el Botón POWER.
$NGC_MCConfirmFormat,Formatting the Memory Card in Slot A will erase all previously saved data. Do you wish to proceed with formatting? ,Durch das Formatieren der Memory Card in Steckplatz A werden alle zuvor gespeicherten Daten gelöscht. Soll sie trotzdem formatiert werden?,Formater la Memory Card (carte mémoire) entraînera la perte de toutes les données sauvegardées. Voulez-vous continuer le formatage ?,"Formattando la Memory Card (Scheda Memoria) nello Slot A, tutti i dati salvati in precedenza verranno eliminati. Vuoi procedere con la formattazione?",Si formateas la Memory Card (tarjeta de memoria) de la Ranura A se borrarán todos los datos guardados. ¿Deseas formatearla de todos modos?
$NGC_MCContinue,Continue,Fortsetzen,Continuer,Continua,Continuar
$NGC_MCContinueWOSaving,$TextHSize(55)Continue Without Saving,$TextHSize(55)Ohne Speichern fortfahren,$TextHSize(55)Continuer sans sauvegarder,$TextHSize(55)Prosegui senza salvare,$TextHSize(55)Continuar sin guardar
$NGC_MCCorrupted,Finest Hour game data on Memory Card in Slot A is corrupted.,Die Finest Hour-Daten auf der Memory Card in Steckplatz A sind fehlerhaft.,Le fichier de Call of Duty: Le jour de gloire sur la Memory Card (carte mémoire) dans le Slot A est corrompu.,I dati di gioco di L'ora degli Eroi sulla Memory Card (Scheda Memoria) nello Slot A sono danneggiati.,El archivo Finest Hour de la Memory Card (tarjeta de memoria) de la Ranura A está dañado.
$NGC_MCCorruptedNew,The Finest Hour file on Memory Card in Slot A is corrupted. This file needs to be deleted.  Continue without loading ,Die Finest Hour-Datei auf der Memory Card in Steckplatz A ist fehlerhaft. Die Datei muss gelöscht werden. Ohne Laden fortfahren,Le fichier de Call of Duty: Le jour de gloire sur la Memory Card (carte mémoire) dans le Slot A est corrompu. Ce fichier a besoin d'être effacé. Continuer sans charger.,I dati di gioco di L'ora degli Eroi sulla Memory Card (Scheda Memoria) nello Slot A sono danneggiati e devono essere cancellati. Prosegui senza salvare,El archivo Finest Hour de la Memory Card (tarjeta de memoria) de la Ranura A está dañado. Hay que borrar este archivo. Continuar sin cargar
$NGC_MCCreateFailed,Create failed. Check Memory Card in Slot A ,Überprüfen gescheitert. Überprüfen Sie die Memory Card in Steckplatz A.,Echec de la création. Vérifiez la Memory Card (carte mémoire) du Slot A.,Creazione fallita. Controllare la Memory Card (Scheda Memoria) nello Slot A.,Error al crear. Comprueba la Memory Card (tarjeta de memoria) de la Ranura A.
$NGC_MCCreateFailedContinue,Create failed. Check Memory Card in Slot A ,Überprüfen gescheitert. Überprüfen Sie die Memory Card in Steckplatz A.,Echec de la création. Vérifiez la Memory Card (carte mémoire) du Slot A.,Creazione fallita. Controllare la Memory Card (Scheda Memoria) nello Slot A.,Error al crear. Comprueba la Memory Card (tarjeta de memoria) de la Ranura A.
$NGC_MCCreateOK,Creation successful.,Erstellen erfolgreich.,Création terminée.,Creazione completata.,Éxito al crear.
$NGC_MCCreateSaveFile,No Finest Hour game data present on Memory Card in Slot A.  Would you like to create a Finest Hour save file?,Keine gespeicherten Finest Hour-Daten auf der Memory Card in Steckplatz A vorhanden. Möchten Sie eine Finest Hour-Datei erstellen?,Pas de données de Call of Duty: Le jour de gloire sur la Memory Card (carte mémoire) dans le Slot A. Voulez-vous créer un fichier de sauvegarde de Call of Duty: Le jour de gloire ?,Nessun dato di gioco di L'ora degli Eroi presente sulla Memory Card (Scheda Memoria) nello Slot A. Vuoi creare un salvataggio per L'ora degli Eroi?,No hay datos guardados de Finest Hour en la Memory Card (tarjeta de memoria) de la Ranura A. ¿Quieres crear un nuevo archivo guardado de Finest Hour?
$NGC_MCCreating,Saving to the Memory Card in Slot A. Do not touch the Memory Card in Slot A or the POWER Button.,Speichern auf Memory Card in Steckplatz A erfolgt. Bitte entfernen Sie nicht die Memory Card und betätigen Sie nicht den POWER-Schalter.,Sauvegarde en cours. Ne touchez pas à la Memory Card (carte mémoire) dans le Slot A ni au bouton POWER.,Salvataggio sulla Memory Card (Scheda Memoria) nello Slot A. Non toccare la Memory Card (Scheda Memoria) o il pulsante POWER.,Guardando en la Memory Card (tarjeta de memoria) de la Ranura A. No toques ni la Memory Card (tarjeta de memoria) de la Ranura A ni el Botón POWER.
$NGC_MCDataRequired,No Finest Hour save data present on Memory Card in Slot A.,Keine gespeicherten Finest Hour-Daten auf der Memory Card in Steckplatz A vorhanden.,Aucune sauvegarde de Call of Duty: Le jour de gloire sur la Memory Card (carte mémoire) dans le Slot A. ,Nessun salvataggio di L'ora degli Eroi presente sulla Memory Card (Scheda Memoria) nello Slot A.,No hay datos guardados de Finest Hour en la Memory Card (tarjeta de memoria) de la Ranura A.
$NGC_MCDelete,Delete,Löschen,Effacer,Elimina,Borrar
$NGC_MCExitFree,$TextHSize(67)Manage Memory Card,$TextHSize(67)Memory Card verwalten,$TextHSize(67)Gérer la Memory Card (carte mémoire),$TextHSize(67)Accedi alla Memory Card (Scheda Memoria),$TextHSize(67)Reorganizar Memory Card (tarjeta de memoria)
$NGC_MCFormat,$TextHSize(67)Format Memory Card,$TextHSize(67)Memory Card formatieren,$TextHSize(67)Formater la Memory Card (carte mémoire),$TextHSize(67)Formatta Memory Card (Scheda Memoria),$TextHSize(67)Formatear Memory Card (tarjeta de memoria)
$NGC_MCFormatCancel,Cancel format?,Formatieren abbrechen?,Annuler le formatage ?,Annullare la formattazione?,¿Cancelar formatear?
$NGC_MCFormatFailed,The Memory Card in Slot A is damaged and cannot be used. ,Die Memory Card in Steckplatz A ist fehlerhaft und muss formatiert werden.,La Memory Card (carte mémoire) dans le Slot A est endommagée et ne peut pas être utilisée.,La Memory Card (Scheda Memoria) nello Slot A è danneggiata è non può essere utilizzata.,La Memory Card (tarjeta de memoria) de la Ranura A está dañada y no puede usarse.
$NGC_MCFormatFailedContinue,Format failed! Check Memory Card in Slot A Continue without save ,Formatieren gescheitert! Überprüfen Sie die Memory Card in Steckplatz A. Ohne Speichern fortfahren,Echec du formatage ! Vérifiez la Memory Card (carte mémoire) dans le Slot A. Continuer sans sauvegarder.,Formattazione fallita! Controllare la Memory Card (Scheda Memoria) nello Slot A. Prosegui senza salvare,¡Error al formatear! Comprueba la Memory Card (tarjeta de memoria) de la Ranura A. Continuar sin guardar
$NGC_MCFormatOK,Format successful.,Formatieren erfolgreich.,Formatage terminé.,Formattazione completata.,Éxito al formatear.
$NGC_MCFormattedRequired,No Finest Hour save data present on Memory Card in Slot A.,Keine gespeicherten Finest Hour-Daten auf der Memory Card in Steckplatz A vorhanden.,Aucune donnée de Call of Duty: Le jour de gloire sur la Memory Card (carte mémoire) dans le Slot A. ,Nessun salvataggio di L'ora degli Eroi presente sulla Memory Card (Scheda Memoria) nello Slot A.,No hay datos guardados de Finest Hour en la Memory Card (tarjeta de memoria) de la Ranura A.
$NGC_MCFormatting,Formatting Memory Card in Slot A. Do not touch the Memory Card or the POWER Button.,Formatiert Memory Card in Steckplatz A. Bitte entfernen Sie nicht die Memory Card und betätigen Sie nicht den POWER-Schalter.,Formatage en cours. Ne touchez pas à la Memory Card (carte mémoire) ni au bouton POWER.,Formattazione della Memory Card (Scheda Memoria) nello Slot A. Non toccare la Memory Card (Scheda Memoria) o il pulsante POWER.,Formateando Memory Card (tarjeta de memoria) de la Ranura A. No toques ni la Memory Card (tarjeta de memoria) ni el Botón POWER.
$NGC_MCLoadFailed,Load failed. Check Memory Card in Slot A Retry.,Laden gescheitert. Überprüfen Sie die Memory Card in Steckplatz A. Wiederholen.,Echec du chargement. Vérifiez la Memory Card (carte mémoire) dans le Slot A. Réessayez.,Caricamento fallito! Controllare la Memory Card (Scheda Memoria) nello Slot A. Riprova,Error al cargar. Comprueba la Memory Card (tarjeta de memoria) de la Ranura A. Reintentar.
$NGC_MCLoading,Loading data. Do not touch the Memory Card in Slot A or the POWER Button.,Lädt Daten. Bitte entfernen Sie nicht die Memory Card und betätigen Sie nicht den POWER-Schalter.,Chargement en cours. Ne touchez pas à la Memory Card (carte mémoire) dans le Slot A ni au bouton POWER.,Caricamento dati. Non toccare la Memory Card (Scheda Memoria) o il pulsante POWER.,Cargando datos. No toques ni la Memory Card (tarjeta de memoria) de la Ranura A ni el Botón POWER.
$NGC_MCLoadNewGame,The selected game data is empty.  Do you want to start a new game?,Die gewählten Daten sind leer. Möchten Sie ein neues Spiel starten?,Le fichier sélectionné est vide. Commencer une nouvelle partie ?,I dati di gioco selezionati sono vuoti. Vuoi iniziare una nuova partita?,Los datos de juego seleccionados están vacíos. ¿Quieres comenzar una nueva partida?
$NGC_MCLoadOK,Load successful.,Laden erfolgreich.,Chargement terminé.,Caricamento completato.,Éxito al cargar.
$NGC_MCNewGameOKAutosave,"While this icon is on the screen, Do not touch the Memory Card in Slot A or the POWER Button.","Solange dieses Symbol auf dem Bildschirm erscheint, entfernen Sie bitte nicht die Memory Card und betätigen Sie nicht den POWER-Schalter.","Lorsque cet icone est à l'écran, ne touchez pas à la Memory Card (carte mémoire) dans le Slot A ni au bouton POWER.","Finché questa icona è visibile, non toccare la Memory Card (Scheda Memoria) nello Slot A o il pulsante POWER.","Mientras este icono esté en la pantalla, no toques ni la Memory Card (tarjeta de memoria) de la Ranura A ni el Botón POWER."
$NGC_MCNo,No,Nein,Non,No,No
$NGC_MCNoCard,No Memory Card found in Slot A.,Keine Memory Card in Steckplatz A.,Aucune Memory Card (carte mémoire) n'est détectée dans le Slot A.,Nello Slot A non è inserita alcuna Memory Card (Scheda Memoria).,No hay Memory Card (tarjeta de memoria) en la Ranura A.
$NGC_MCNoCardContinue,Continue without saving?,Ohne Speichern fortfahren?,Continuer sans sauvegarder ?,Vuoi proseguire senza salvare?,¿Continuar sin guardar?
$NGC_MCNoCardLoad,No Memory Card found in Slot A.,Keine Memory Card in Steckplatz A.,Aucune Memory Card (carte mémoire) n'est détectée dans le Slot A.,Nello Slot A non è inserita alcuna Memory Card (Scheda Memoria).,No hay Memory Card (tarjeta de memoria) en la Ranura A.
$NGC_MCNoSpace,"There is not enough free space on the Memory Card in Slot A. To save Finest Hour you need at least 1 file and 2 blocks.  To manage the contents of your Memory Card, use the Memory Card Screen.","Es befindet sich nicht genügend freier Platz auf der Memory Card in Steckplatz A. Finest Hour benötigt zum Speichern 1 Datei und 2 Blöcke. Bitte rufen Sie den Memory Card-Bildschirm auf, um die Inhalte Ihrer Memory Card zu verwalten. ","Il n'y a pas assez d'espace libre sur la Memory Card (carte mémoire) dans le Slot A. Call of Duty: Le jour de gloire nécessite 1 fichier et 2 blocs pour être sauvegardé. Pour gérer le contenu de votre Memory Card (carte mémoire), utilisez l'Ecran Memory Card (carte mémoire).",Lo spazio libero nella Memory Card (Scheda Memoria) nello Slot A è insufficiente. Per salvare L'ora degli Eroi sono necessari 1 file e 2 blocchi. Per organizzare i dati della Memory Card (Scheda Memoria) utilizza lo schermo Memory Card (Scheda Memoria).,"No hay suficiente espacio libre en la Memory Card (tarjeta de memoria) de la Ranura A. Para guardar datos de Finest Hour se requiere 1 archivo y 2 bloques. Para reorganizar el contenido de la Memory Card (tarjeta de memoria), ve a la pantalla Memory Card (tarjeta de memoria)."
